league,team,season,games,wins,draws,losses,pts_total,avg_res_for_game,year_of_foundation
Premier League,Chelsea FC,2023-2024,38,18,9,11,77.0,1.6578947368421053,1905
Premier League,Chelsea FC,2024-2025,38,20,9,9,64.0,1.8157894736842106,1905
Premier League,Crystal Palace FC,2021-2022,38,11,15,12,50.0,1.263157894736842,1905
Premier League,Crystal Palace FC,2022-2023,38,11,12,15,40.0,1.1842105263157894,1905
Premier League,Crystal Palace FC,2023-2024,38,13,10,15,57.0,1.2894736842105263,1905
Premier League,Crystal Palace FC,2024-2025,38,13,14,11,51.0,1.394736842105263,1905
Premier League,Everton FC,2021-2022,38,11,6,21,43.0,1.0263157894736843,1878
Premier League,Everton FC,2022-2023,38,8,12,18,34.0,0.9473684210526315,1878
Premier League,Everton FC,2023-2024,38,13,9,16,40.0,1.263157894736842,1878
Premier League,Everton FC,2024-2025,38,11,15,12,42.0,1.263157894736842,1878
Premier League,Fulham FC,2022-2023,38,15,7,16,55.0,1.368421052631579,1879
Premier League,Fulham FC,2023-2024,38,13,8,17,55.0,1.236842105263158,1879
Premier League,Fulham FC,2024-2025,38,15,9,14,54.0,1.4210526315789473,1879
Premier League,Ipswich Town FC,2024-2025,38,4,10,24,36.0,0.5789473684210527,1878
Premier League,Leeds United FC,2021-2022,38,9,11,18,42.0,1.0,1919
Premier League,Leeds United FC,2022-2023,38,7,10,21,48.0,0.8157894736842105,1919
Premier League,Leicester City FC,2021-2022,38,14,10,14,62.0,1.368421052631579,1884
Premier League,Leicester City FC,2022-2023,38,9,7,22,51.0,0.8947368421052632,1884
Premier League,Leicester City FC,2024-2025,38,6,7,25,33.0,0.6578947368421053,1884
Premier League,Liverpool FC,2021-2022,38,28,8,2,94.0,2.4210526315789473,1892
Premier League,Liverpool FC,2022-2023,38,19,10,9,75.0,1.763157894736842,1892
Premier League,Liverpool FC,2023-2024,38,24,10,4,86.0,2.1578947368421053,1892
Premier League,Liverpool FC,2024-2025,38,25,9,4,86.0,2.210526315789474,1892
Premier League,Luton Town FC,2023-2024,38,6,8,24,52.0,0.6842105263157895,1885
